GRD -Código,GRD -Descripción
114133,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO w/MCC
64132,"MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA DEL COLON w/CC"
81402,PH EXCISIÓN LOCAL Y REMOCIÓN DE DISPOSITIVO DE FIJACIÓN INTERNO w/CC
41201,PH PROCEDIMIENTOS NO COMPLEJOS DEL APARATO RESPIRATORIO
84112,MH FRACTURA DE LA PELVIS O LUXACIÓN DE CADERA w/CC
44153,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/MCC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
184131,MH INFECCIÓN NO BACTERIANAS
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
81601,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO
31201,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
54201,MH ANGINA DE PECHO Y DOLOR TORÁCICO
84201,"MH SIGNOS Y SÍNTOMAS MÚSCULO-ESQUELÉTICOS, ESGUINCES E INFLAMACIONES MENORES"
64181,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO
14143,MH ACCIDENTE VASCULAR CEREBRAL CON INFARTO w/MCC
111402,PH PROCEDIMIENTOS URETRALES Y TRANSURETRALES w/CC
91301,PH INJERTO DE PIEL SIN QUEMADURAS
214132,MH COMPLICACIONES DEL TRATAMIENTO w/CC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
71141,PH COLECISTECTOMÍA LAPAROSCÓPICA
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
14171,MH TRASTORNOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO
64182,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/CC
91401,"PH OTROS PROCEDIMIENTOS DE PIEL, TEJIDO SUBCUTÁNEO Y MAMAS"
64103,MH MALIGNIDAD EN EL TRACTO DIGESTIVO w/MCC
84171,MH PROBLEMAS MÉDICOS DE LA ESPALDA
194161,MH ALTERACIONES ORGÁNICAS Y RETRASO MENTAL
64183,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/MCC
61112,PH ADHESIÓLISIS PERITONEAL w/CC
74133,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/MCC"
44162,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/CC
44212,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/CC"
104101,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS
164141,MH OTROS TRASTORNOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE
54173,MH HIPERTENSIÓN w/MCC
44181,MH ASMA Y BRONQUITIS
111201,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
104103,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS w/MCC
24123,MH OTROS TRASTORNOS DE LOS OJOS w/MCC
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
14231,MH MIGRAÑA Y OTRAS CEFALEAS
71103,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/MCC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
161203,PH OTROS PROCEDIMIENTOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE w/MCC
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
14263,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/MCC
44143,MH MALIGNIDIAD RESPIRATORIA w/MCC
54243,PH OTROS DIAGNÓSTICOS DEL APARATO CIRCULATORIO w/MCC
104103,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS w/MCC
61202,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/CC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
91402,"PH OTROS PROCEDIMIENTOS DE PIEL, TEJIDO SUBCUTÁNEO Y MAMAS w/CC"
74113,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/MCC
64181,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
184151,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA
124103,MH MALIGNIDAD EN EL SISTEMA REPRODUCTOR MASCULINO w/MCC
214122,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS w/CC
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
14263,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/MCC
51122,PH PROCEDIMIENTOS VASCULARES TORÁCICOS COMPLEJOS w/CC
54163,MH ARTERIOESCLEROSIS w/MCC
114163,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
84123,MH FRACTURA O LUXACIÓN EXCLUYENDO FÉMUR Y PELVIS w/MCC
61203,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/MCC
14232,MH MIGRAÑA Y OTRAS CEFALEAS w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
104101,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS
14142,MH ACCIDENTE VASCULAR CEREBRAL CON INFARTO w/CC
14231,MH MIGRAÑA Y OTRAS CEFALEAS
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
74112,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/CC
184103,MH SEPTICEMIA w/MCC
104102,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS w/CC
121132,PH PROCEDIMIENTOS NO COMPLEJOS EN PRÓSTATA Y CONTENIDO ESCROTAL w/CC
41023,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO SIN TRAQUEOSTOMÍA w/MCC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
114162,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
14221,MH CONVULSIONES
11201,PH PROCEDIMIENTOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO
64182,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/CC
94101,MH TRASTORNOS MAYORES DE LA PIEL
54123,MH INSUFICIENCIA CARDÍACA w/MCC
164112,MH TRASTORNOS DE LA COAGULACIÓN w/CC
74142,MH OTROS TRASTORNOS DEL TRACTO BILIAR w/CC
14173,MH TRASTORNOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO w/MCC
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
41303,PH PROCEDIMIENTOS MODERADAMENTECOMPLEJOS DEL APARATO RESPIRATORIO w/MCC
71142,PH COLECISTECTOMÍA LAPAROSCÓPICA w/CC
44141,MH MALIGNIDIAD RESPIRATORIA
61202,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/CC
34142,MH ENFERMEDADES ORALES Y DENTALES w/CC
64172,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/CC
54122,MH INSUFICIENCIA CARDÍACA w/CC
54193,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA w/MCC
94121,MH CELULITIS
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
54123,MH INSUFICIENCIA CARDÍACA w/MCC
61131,PH PROCEDIMIENTOS DEL APÉNDICE
64132,"MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA DEL COLON w/CC"
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
104102,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS w/CC
121101,PH PROSTATECTOMÍA COMPLEJA
64112,MH GASTRITIS Y ÚLCERA PÉPTICA w/CC
14213,MH ESTUPOR Y COMA NO TRAUMÁTICOS w/MCC
54242,PH OTROS DIAGNÓSTICOS DEL APARATO CIRCULATORIO w/CC
121101,PH PROSTATECTOMÍA COMPLEJA
94141,MH OTROS TRASTORNOS DE LA PIEL Y DE MAMAS
11201,PH PROCEDIMIENTOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO
61112,PH ADHESIÓLISIS PERITONEAL w/CC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
174103,MH LEUCEMIA AGUDA w/MCC
74132,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/CC"
11102,PH CRANEOTOMÍA w/CC
64172,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/CC
71113,PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO BILIAR w/MCC
41203,PH PROCEDIMIENTOS NO COMPLEJOS DEL APARATO RESPIRATORIO w/MCC
84182,PA OTRAS ENFERMEDADES DE LOS HUESOS Y ARTICULACIONES w/CC
74132,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/CC"
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
54133,MH TROMBOFLEBITIS VENOSA PROFUNDA w/MCC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
64132,"MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA DEL COLON w/CC"
184133,MH INFECCIÓN NO BACTERIANAS w/MCC
84182,PA OTRAS ENFERMEDADES DE LOS HUESOS Y ARTICULACIONES w/CC
84163,MH TRASTORNOS EN EL TEJIDO CONJUNTIVO w/MCC
114103,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/MCC
104101,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS
41021,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO SIN TRAQUEOSTOMÍA
74103,MH CIRROSIS Y HEPATITIS ALCOHÓLICA w/MCC
71102,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/CC
81703,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE w/MCC
164111,MH TRASTORNOS DE LA COAGULACIÓN
54201,MH ANGINA DE PECHO Y DOLOR TORÁCICO
41013,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO CON TRAQUEOSTOMÍA w/MCC
81601,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO
14223,MH CONVULSIONES w/MCC
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
34151,"PH OTROS DIAGNÓSTICOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
94101,MH TRASTORNOS MAYORES DE LA PIEL
41013,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO CON TRAQUEOSTOMÍA w/MCC
31201,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
64123,MH ENFERMEDADES ESOFÁGICAS w/MCC
64153,MH OBSTRUCCIÓN GASTROINTESTINAL w/MCC
71121,PH COLECISTECTOMÍA EXCLUYENDO LAPAROSCÓPICA
61203,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/MCC
64123,MH ENFERMEDADES ESOFÁGICAS w/MCC
111401,PH PROCEDIMIENTOS URETRALES Y TRANSURETRALES
34151,"PH OTROS DIAGNÓSTICOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
44152,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/CC
51053,PH BYPASS CORONARIO CON CATETERISMO CARDÍACO w/MCC
81601,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO
81201,PH PROCEDIMIENTOS EN EL FÉMUR Y CADERAS EXCLUYENDO ARTICULACIONES MAYORES
51203,PH OTROS PROCEDIMIENTOS DEL APARATO CIRCULATORIO w/MCC
114162,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
74102,MH CIRROSIS Y HEPATITIS ALCOHÓLICA w/CC
54103,MH INFARTO AGUDO DEL MIOCARDIO w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
54233,"HM FALLAS, REACCIONES Y COMPLICACIONES DE DISPOSITIVOS O DE PROCEDIMIENTOS CARDIOVASCULARES w/MCC"
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
114133,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO w/MCC
174133,MH QUIMIOTERAPIA w/MCC
61402,PH OTROS PROCEDIMIENTOS DIGESTIVOS w/CC
81701,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE
174133,MH QUIMIOTERAPIA w/MCC
64162,MH INFECCIONES GASTROINTESTINALES MAYORES w/CC
174102,MH LEUCEMIA AGUDA w/CC
81402,PH EXCISIÓN LOCAL Y REMOCIÓN DE DISPOSITIVO DE FIJACIÓN INTERNO w/CC
161201,PH OTROS PROCEDIMIENTOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE
61203,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/MCC
44153,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/MCC
94121,MH CELULITIS
81202,PH PROCEDIMIENTOS EN EL FÉMUR Y CADERAS EXCLUYENDO ARTICULACIONES MAYORES w/CC
174132,MH QUIMIOTERAPIA w/CC
54153,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/MCC
111202,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR w/CC
174133,MH QUIMIOTERAPIA w/MCC
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
121103,PH PROSTATECTOMÍA COMPLEJA w/MCC
44153,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/MCC
31301,PH PROCEDIMIENTOS DE LA BOCA
81601,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
21302,PH PROCEDIMIENTOS INTRAOCULARES Y DEL CRISTALINO w/CC
81802,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES w/CC
184151,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA
101103,PH PROCEDIMIENTOS EN GLÁNDULAS ADRENALES w/MCC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
174133,MH QUIMIOTERAPIA w/MCC
44213,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/MCC"
64113,MH GASTRITIS Y ÚLCERA PÉPTICA w/MCC
84211,MH OTROS DIAGNÓSTICOS DEL APARATO MÚSCULOESQUELÉTICO Y TEJIDO CONJUNTIVO
84121,MH FRACTURA O LUXACIÓN EXCLUYENDO FÉMUR Y PELVIS
24122,MH OTROS TRASTORNOS DE LOS OJOS w/CC
14221,MH CONVULSIONES
51403,PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS w/MCC
64172,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/CC
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
111402,PH PROCEDIMIENTOS URETRALES Y TRANSURETRALES w/CC
101201,"PH PROCEDIMIENTOS EN GLÁNDULAS TIROIDES, PARATIROIDES Y CONDUCTO TIROGLOSO"
124112,MH DIAGNÓSTICOS DEL APARATO REPRODUCTOR MASCULINO EXCLUYENDO MALIGNIDAD w/CC
74113,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/MCC
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
61303,"PH PROCEDIMIENTOS MODERADAMENTE COMPLEJOS EN ESTÓMAGO, ESOFÁGO Y DUODENO w/MCC"
14162,MH ISQUEMIA TRANSITORIA w/CC
114112,MH NEFRITIS w/CC
14221,MH CONVULSIONES
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
71103,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/MCC
41302,PH PROCEDIMIENTOS MODERADAMENTECOMPLEJOS DEL APARATO RESPIRATORIO w/CC
24121,MH OTROS TRASTORNOS DE LOS OJOS
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
64181,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO
54123,MH INSUFICIENCIA CARDÍACA w/MCC
184133,MH INFECCIÓN NO BACTERIANAS w/MCC
14243,MH TRAUMA CRANEAL w/MCC
14233,MH MIGRAÑA Y OTRAS CEFALEAS w/MCC
124111,MH DIAGNÓSTICOS DEL APARATO REPRODUCTOR MASCULINO EXCLUYENDO MALIGNIDAD
54103,MH INFARTO AGUDO DEL MIOCARDIO w/MCC
94132,"MH TRAUMA EN LA PIEL, TEJIDO SUBCUTÁNEO Y MAMAS w/CC"
101201,"PH PROCEDIMIENTOS EN GLÁNDULAS TIROIDES, PARATIROIDES Y CONDUCTO TIROGLOSO"
164141,MH OTROS TRASTORNOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE
61203,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/MCC
54232,"HM FALLAS, REACCIONES Y COMPLICACIONES DE DISPOSITIVOS O DE PROCEDIMIENTOS CARDIOVASCULARES w/CC"
54191,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA
54193,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA w/MCC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
111202,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR w/CC
114163,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
31201,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
44193,MH ENFERMEDAD PULMONAR INTERSTICIAL w/MCC
84212,MH OTROS DIAGNÓSTICOS DEL APARATO MÚSCULOESQUELÉTICO Y TEJIDO CONJUNTIVO w/CC
41013,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO CON TRAQUEOSTOMÍA w/MCC
54212,HM SÍNCOPE Y COLAPSO w/CC
41203,PH PROCEDIMIENTOS NO COMPLEJOS DEL APARATO RESPIRATORIO w/MCC
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
121101,PH PROSTATECTOMÍA COMPLEJA
214123,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS w/MCC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
11102,PH CRANEOTOMÍA w/CC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
14162,MH ISQUEMIA TRANSITORIA w/CC
184133,MH INFECCIÓN NO BACTERIANAS w/MCC
111012,PH TRASPLANTE DE RIÑÓN w/CC
111013,PH TRASPLANTE DE RIÑÓN w/MCC
81052,PH PROCEDIMIENTOS MAYORES DE RECOLOCACIÓN DE LOS MIEMBROS Y ARTICULACIONES DE LAS EXTREMIDADES SUPERIORES w/CC
94102,MH TRASTORNOS MAYORES DE LA PIEL w/CC
84182,PA OTRAS ENFERMEDADES DE LOS HUESOS Y ARTICULACIONES w/CC
74133,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/MCC"
124102,MH MALIGNIDAD EN EL SISTEMA REPRODUCTOR MASCULINO w/CC
51403,PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS w/MCC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
14221,MH CONVULSIONES
14222,MH CONVULSIONES w/CC
64103,MH MALIGNIDAD EN EL TRACTO DIGESTIVO w/MCC
44162,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/CC
14221,MH CONVULSIONES
41203,PH PROCEDIMIENTOS NO COMPLEJOS DEL APARATO RESPIRATORIO w/MCC
214122,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS w/CC
54151,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES
54153,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/MCC
44182,MH ASMA Y BRONQUITIS w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
74113,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/MCC
54151,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES
71142,PH COLECISTECTOMÍA LAPAROSCÓPICA w/CC
161203,PH OTROS PROCEDIMIENTOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE w/MCC
174133,MH QUIMIOTERAPIA w/MCC
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
44202,MH NEUMOTÓRAX Y DERRAME PLEURAL w/CC
44203,MH NEUMOTÓRAX Y DERRAME PLEURAL w/MCC
61103,PH PROCEDIMIENTOS NO COMPLEJOS EN INTESTINO DELGADO Y COLON w/MCC
114162,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
111201,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR
164123,MHCRISIS DE ANEMIA DREPANOCÍTICA (DE CÉLULAS FALCIFORMES) w/MCC
61103,PH PROCEDIMIENTOS NO COMPLEJOS EN INTESTINO DELGADO Y COLON w/MCC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
14221,MH CONVULSIONES
14221,MH CONVULSIONES
64111,MH GASTRITIS Y ÚLCERA PÉPTICA
214122,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS w/CC
111202,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR w/CC
71143,PH COLECISTECTOMÍA LAPAROSCÓPICA w/MCC
114132,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO w/CC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
184133,MH INFECCIÓN NO BACTERIANAS w/MCC
81701,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE
114132,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO w/CC
111203,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR w/MCC
61131,PH PROCEDIMIENTOS DEL APÉNDICE
84121,MH FRACTURA O LUXACIÓN EXCLUYENDO FÉMUR Y PELVIS
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
174132,MH QUIMIOTERAPIA w/CC
14143,MH ACCIDENTE VASCULAR CEREBRAL CON INFARTO w/MCC
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
44161,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS)
61111,PH ADHESIÓLISIS PERITONEAL
74142,MH OTROS TRASTORNOS DEL TRACTO BILIAR w/CC
71121,PH COLECISTECTOMÍA EXCLUYENDO LAPAROSCÓPICA
14221,MH CONVULSIONES
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
54172,MH HIPERTENSIÓN w/CC
81201,PH PROCEDIMIENTOS EN EL FÉMUR Y CADERAS EXCLUYENDO ARTICULACIONES MAYORES
74123,MH TRASTORNOS DEL PÁNCREAS EXCLUYENDO MALIGNIDAD w/MCC
74133,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/MCC"
54123,MH INSUFICIENCIA CARDÍACA w/MCC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
64121,MH ENFERMEDADES ESOFÁGICAS
14222,MH CONVULSIONES w/CC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
94102,MH TRASTORNOS MAYORES DE LA PIEL w/CC
101201,"PH PROCEDIMIENTOS EN GLÁNDULAS TIROIDES, PARATIROIDES Y CONDUCTO TIROGLOSO"
174132,MH QUIMIOTERAPIA w/CC
24112,MH TRASTORNOS NEUROLÓGICOS DE LOS OJOS w/CC
64181,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
11103,PH CRANEOTOMÍA w/MCC
14231,MH MIGRAÑA Y OTRAS CEFALEAS
64182,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/CC
14262,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/CC
51153,PH CATETERISMO CARDÍACO w/MCC
34131,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS"
34133,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS w/MCC"
164142,MH OTROS TRASTORNOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE w/CC
134121,MH TRASTORNOS MENSTRUALES Y OTROS DEL APARATO REPRODUCTOR FEMENINO
14222,MH CONVULSIONES w/CC
184131,MH INFECCIÓN NO BACTERIANAS
14242,MH TRAUMA CRANEAL w/CC
